"","BHI_1","BHI_2","BHI_3","Serum_1","Serum_2","Serum_3"
"NHECHLLE_00352",106,137,95,255,267,237
"NHECHLLE_00353",70,78,60,87,95,79
"NHECHLLE_00354",191,203,199,521,727,629
"NHECHLLE_00355",24,17,18,66,73,93
"NHECHLLE_00356",91,73,64,903,952,1234
"NHECHLLE_00357",84,74,75,95,114,124
"NHECHLLE_00358",24,33,33,21,15,19
"NHECHLLE_00359",39,42,36,8,14,11
"NHECHLLE_00360",7250,7921,7226,1178,1357,1328
"NHECHLLE_00361",2976,2869,2682,2259,2459,2273
"NHECHLLE_00362",6675,6629,5654,5385,6297,5859
"NHECHLLE_00363",2284,2087,1987,4182,4492,3557
"NHECHLLE_00364",777,751,661,1679,2011,1497
"NHECHLLE_00365",441,351,279,961,1196,995
"NHECHLLE_00366",288,330,312,129,178,150
"NHECHLLE_00367",999,961,891,813,896,841
"NHECHLLE_00368",823,843,800,699,761,711
"NHECHLLE_00369",967,983,897,43,57,47
"NHECHLLE_00370",3586,3796,3575,349,423,368
"NHECHLLE_00371",5791,5900,5568,481,626,545
"NHECHLLE_00372",2036,1994,2151,232,309,262
"NHECHLLE_00373",2053,2215,2001,1857,2111,2033
"NHECHLLE_00374",3205,3376,3279,3613,3969,3475
"NHECHLLE_00375",629,725,625,172,200,212
"NHECHLLE_00376",968,993,814,236,283,300
"NHECHLLE_00377",1129,1057,1051,371,428,350
"NHECHLLE_00378",3063,3882,3358,410,479,454
"NHECHLLE_00379",443,384,411,38,43,45
"NHECHLLE_00380",7057,6905,6878,1001,1200,1051
"NHECHLLE_00381",4381,4573,4035,564,650,535
"NHECHLLE_00382",1749,1989,1494,939,1046,1002
"NHECHLLE_00383",5060,5363,4890,4782,5333,4831
"NHECHLLE_00384",2281,2314,2029,4447,4978,4615
"NHECHLLE_00385",881,811,741,2973,3703,3226
"NHECHLLE_00386",1343,1253,1097,3645,4147,4082
"NHECHLLE_00387",2274,2514,2093,3821,4873,4306
"NHECHLLE_00388",1594,1469,1396,4086,4618,4305
"NHECHLLE_00389",368,378,321,1228,1500,1347
"NHECHLLE_00390",524,532,438,21357,21993,20892
"NHECHLLE_00391",346,356,322,557,597,543
"NHECHLLE_00392",288,300,294,345,467,452
"NHECHLLE_00393",241,271,195,21,22,21
"NHECHLLE_00394",65,70,52,6,4,3
"NHECHLLE_00395",243,260,226,291,319,294
"NHECHLLE_00396",71,63,76,12,15,16
"NHECHLLE_00397",26,23,28,6,16,12
"NHECHLLE_00398",169,151,140,70,67,73
"NHECHLLE_00399",74,69,85,54,51,38
"NHECHLLE_00400",101,134,122,55,71,58
"NHECHLLE_00401",313,299,258,159,222,186
"NHECHLLE_00402",502,594,593,93,113,108
"NHECHLLE_00403",3513,3466,3156,792,1037,808
"NHECHLLE_00404",4427,4116,4038,1345,1487,1437
"NHECHLLE_00405",187,188,149,4040,4015,4684
"NHECHLLE_00406",21,24,12,93,116,155
"NHECHLLE_00407",57,61,53,130,104,140
"NHECHLLE_00408",164,154,135,78,80,69
"NHECHLLE_00409",35,37,36,9,16,18
"NHECHLLE_00410",5,5,8,2,4,3
"NHECHLLE_00411",1,0,0,0,0,0
"NHECHLLE_00412",4614,4594,4268,5828,7517,6565
"NHECHLLE_00413",46,52,48,101,142,132
"NHECHLLE_00414",301,310,310,494,629,548
"NHECHLLE_00415",997,730,684,187,249,183
"NHECHLLE_00416",7233,6332,6007,1673,1897,1717
"NHECHLLE_00417",2119,1831,1637,2581,2565,2585
"NHECHLLE_00418",4897,4786,3977,2712,3564,3130
"NHECHLLE_00419",908,863,743,421,567,541
"NHECHLLE_00420",865,1025,900,3871,4416,4327
"NHECHLLE_00421",545,511,472,2441,2823,2780
"NHECHLLE_00422",1120,1148,1083,7404,8776,8316
"NHECHLLE_00423",577,640,566,567,725,616
"NHECHLLE_00424",1,2,2,4,3,4
"NHECHLLE_00425",7240,6887,6166,9005,10102,9763
"NHECHLLE_00426",4195,4153,3798,3947,3956,3682
"NHECHLLE_00427",2441,2432,2139,2280,2293,2227
"NHECHLLE_00428",1440,1617,1265,1384,1624,1443
"NHECHLLE_00429",1103,1025,900,1868,2111,2596
"NHECHLLE_00430",1032,1000,919,1374,1674,2029
"NHECHLLE_00431",596,544,508,1019,1207,1374
"NHECHLLE_00432",312,251,210,547,493,710
"NHECHLLE_00433",350,410,376,1028,1039,1288
"NHECHLLE_00434",3446,3381,3105,7525,8367,10878
"NHECHLLE_00435",1035,1071,944,2391,2868,3895
"NHECHLLE_00436",750,796,706,1711,1897,2618
"NHECHLLE_00437",628,656,615,1277,1483,2054
"NHECHLLE_00438",865,843,778,1347,1624,2193
"NHECHLLE_00439",523,568,474,1213,1373,1870
"NHECHLLE_00440",4048,4616,3992,4530,4953,4603
"NHECHLLE_00441",1356,1284,1111,1634,1875,1755
"NHECHLLE_00442",561,700,671,844,944,831
"NHECHLLE_00443",1750,1548,1286,1904,2046,2100
"NHECHLLE_00444",2183,1937,1842,20286,25005,21261
"NHECHLLE_00445",1739,1761,1657,3374,3799,3351
"NHECHLLE_00446",1763,1698,1427,1364,1631,1504
"NHECHLLE_00447",547,493,423,395,402,388
"NHECHLLE_00448",1835,1852,1625,1497,1798,1660
"NHECHLLE_00449",1647,1744,1523,1696,2092,1952
"NHECHLLE_00450",25071,25362,23207,4598,5535,5029
"NHECHLLE_00451",199,199,199,264,272,265
"NHECHLLE_00452",13052,12723,11462,5865,6745,6181
"NHECHLLE_00453",2220,2369,2134,1864,2253,2085
"NHECHLLE_00454",34,46,42,59,90,83
"NHECHLLE_00455",107,124,71,50,44,44
"NHECHLLE_00456",34,35,35,31,30,31
"NHECHLLE_00457",59,80,70,45,58,48
"NHECHLLE_00458",18,26,13,25,24,19
"NHECHLLE_00459",1154,1055,951,793,874,807
"NHECHLLE_00460",7786,7899,7113,7406,8290,7449
"NHECHLLE_00461",8757,8609,7791,4949,5660,5147
"NHECHLLE_00462",5756,7229,6639,4178,5139,4806
"NHECHLLE_00463",888,925,750,392,456,478
"NHECHLLE_00464",1010,983,993,252,350,314
"NHECHLLE_00465",12793,12055,10546,4985,6034,5414
"NHECHLLE_00466",0,0,0,0,0,0
"NHECHLLE_00467",103,126,107,21,26,22
"NHECHLLE_00468",2040,1776,1561,2162,2374,2245
"NHECHLLE_00469",1601,1724,1508,1033,1217,1043
"NHECHLLE_00470",306,312,284,350,434,358
"NHECHLLE_00471",121,146,124,179,206,152
"NHECHLLE_00472",971,932,742,4389,4647,4375
"NHECHLLE_00473",5980,5984,5107,8249,8757,8737
"NHECHLLE_00474",1528,1516,1637,1046,1189,1005
"NHECHLLE_00475",4628,4667,3777,12453,13980,12949
"NHECHLLE_00476",1038,927,899,242,274,309
"NHECHLLE_00477",215,257,265,205,287,261
"NHECHLLE_00478",32789,29042,26389,67583,75646,72858
"NHECHLLE_00479",1299,1647,1733,1155,1558,1211
"NHECHLLE_00480",2717,2521,2435,1965,2384,2054
"NHECHLLE_00481",363,327,359,3159,3721,3681
"NHECHLLE_00482",8065,7107,6757,1187,1432,1315
"NHECHLLE_00483",19332,18318,16033,3995,4474,4249
"NHECHLLE_00484",1184,1060,995,1874,1815,1675
"NHECHLLE_00485",1662,1567,1359,1463,1744,1609
"NHECHLLE_00486",2261,2165,1953,1021,1149,1133
"NHECHLLE_00487",4833,4228,3859,8591,9649,8910
"NHECHLLE_00488",15499,12317,11108,4450,5103,4850
"NHECHLLE_00489",4407,4638,4089,26363,29441,27770
"NHECHLLE_00490",3169,2999,2716,576,665,559
"NHECHLLE_00491",22,22,22,27,19,29
"NHECHLLE_00492",978,1034,865,719,851,742
"NHECHLLE_00493",4097,3519,2946,678,807,748
"NHECHLLE_00494",9131,8560,7890,726,889,737
"NHECHLLE_00495",13268,15294,13233,853,1147,935
"NHECHLLE_00496",5609,5899,5310,3679,3986,3847
"NHECHLLE_00497",1077,1105,1106,325,390,405
"NHECHLLE_00498",2018,1989,1850,993,1076,979
"NHECHLLE_00499",370,367,355,219,271,197
"NHECHLLE_00500",4479,4383,3931,2109,2369,2115
"NHECHLLE_00501",1332,1512,1322,394,477,389
"NHECHLLE_00502",1455,1354,1300,898,1072,1053
"NHECHLLE_00503",989,863,849,491,603,540
"NHECHLLE_00504",7115,6169,5362,4504,4682,4564
"NHECHLLE_00505",4270,4584,4106,3426,4010,3878
"NHECHLLE_00506",4989,4560,4332,1109,1341,1264
"NHECHLLE_00507",15783,15242,13554,3497,4002,3550
"NHECHLLE_00508",6548,6695,5949,752,871,741
"NHECHLLE_00509",3613,3540,3418,4937,5922,5137
"NHECHLLE_00510",9282,9422,8524,10745,11803,11292
"NHECHLLE_00511",7988,8361,7334,9340,10826,10081
"NHECHLLE_00512",1,2,2,1,0,1
"NHECHLLE_00513",2178,2147,2300,969,1251,1110
"NHECHLLE_00514",5216,5808,5160,2167,2678,2359
"NHECHLLE_00515",478,653,575,87,115,111
"NHECHLLE_00516",459,485,467,863,967,928
"NHECHLLE_00517",366,417,351,514,586,600
"NHECHLLE_00518",536,516,479,315,327,351
"NHECHLLE_00519",1002,846,791,4578,5007,4692
"NHECHLLE_00521",953,744,615,580,629,668
"NHECHLLE_00522",175,133,119,24242,30906,25177
"NHECHLLE_00523",702,562,429,1201,1334,1220
"NHECHLLE_00524",1313,1255,1129,2266,2588,2412
"NHECHLLE_00525",34,51,52,51,62,57
"NHECHLLE_00526",210,185,176,1745,2017,1806
"NHECHLLE_00527",72,70,57,679,736,721
